position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11
10,331.9982698961938,138.85294117647058,385.14380687666534,355.53300266290466,460.59161080935587,203.7736186331866,181.9727722772277,380.34653465346537,516.6655791190882,389.1941272430682,206.80843585237255,175.46221441124783,420.7938468459389,373.78261329786903,515.1654453790702,164.45051745325352,352.2877939532468,297.772676372242,511.3487045012149,202.87840608144185,491.3902718071403,174.40271610903068,402.5126645828797,383.99740756607713
11,331.727115716753,136.69257340241793,381.9416739812182,357.87099699701065,460.58451599374064,203.4871927244768,182.295,381.025,517.8879310344828,390.6827586206897,206.1359570661896,176.4973166368515,419.73357957688575,375.1308310541614,515.6335778794978,165.94477819896983,351.99768250299917,294.06720741616675,511.57898569337164,202.520102834822,493.4588015634519,175.34304992937004,402.60895965999396,383.63782180970367
12,331.62301587301585,134.3174603174603,378.08864098897385,364.31300020427216,460.9610236227975,202.8190379957798,182.88888888888889,380.7592592592592,519.0553745928339,392.9120521172639,206.29928315412187,177.71684587813618,416.89077250946605,376.22630616600287,516.0811381613613,165.11497098618008,352.16666666669425,290.98709677424966,511.38869476696914,202.9623002141217,495.4727116406362,176.2575702481899,399.0871024997342,384.60728656762495
13,331.59071729957805,132.8206751054852,374.3372747140363,367.61594833734785,460.511726221524,202.8788752703029,183.2344827586207,380.2827586206897,520.2364864864866,393.7753378378378,207.16958041958043,178.33741258741262,413.2104640533077,375.84341346623336,517.0348699302067,164.98880239730414,350.9806714140398,287.0946083418132,511.54315083579087,203.11059253039147,496.3760066549578,176.77366047458983,396.67112797762604,385.23012588894704
14,331.15106382978723,132.24255319148935,370.73797147967537,369.151098275849,460.75193002402915,202.41509461730823,183.75054229934926,380.09544468546636,520.7602131438722,394.30195381882766,208.04308797127467,178.54039497307002,406.51077905589966,374.617088608317,517.1535571640013,164.7471556287878,347.1993987975952,279.7785571142284,511.83111655949165,203.2691028928366,496.9313241744799,177.45531489971958,393.0156465492758,386.09746531139547
15,331.19913419913416,132.2186147186147,365.23914807125715,371.79309447816513,461.0234800595442,202.0892347950801,184.28024193548384,379.64717741935476,522.2586206896551,395.2145593869732,209.9453860640301,179.42561205273068,400.5080739274147,375.54530378189935,518.0248511308088,164.73659912868175,342.37538461538463,273.69435897435903,511.71338750424,203.16853678273716,496.537195410043,177.25764804042203,388.0362137053348,387.1659277826578
16,331.19913419913416,132.2186147186147,359.2625725646183,373.39254570477516,460.8663850787754,201.652452541323,184.38955823293168,379.6746987951807,522.9918032786885,395.57172131147536,211.8752166377816,180.47833622183708,396.9148234727609,382.13430343278,518.5567737270964,164.21978189272758,335.22360248447205,266.61904761904765,511.5757725546107,203.08850874358117,495.9343440015084,176.22320432212712,375.8617953995082,387.60740132649323
17,331.23702031602704,132.686230248307,354.23096447828317,375.64763467654785,460.38809517002716,200.30311277721063,184.44689378757516,379.63527054108215,523.5530474040631,395.43115124153496,212.40549828178692,181.41065292096218,392.6490899252947,383.0975020729095,519.1150630080252,164.1890411566775,328.5009633911368,260.6512524084779,512.6217124172164,202.66843651874717,494.6576739865225,175.40448890221927,370.1066672791577,389.83005173027163
18,331.09624413145536,132.41079812206573,349.5727921337348,378.1344935831469,459.39509300676093,199.50969887185363,185.09236947791163,378.9497991967871,524.4116331096196,395.5995525727069,213.81328545780968,181.9802513464991,381.1736637239495,381.1424071888366,519.8073548779362,163.73580721500028,322.4646464646465,255.23030303030305,513.9499678023177,202.66902134550446,498.29846610916667,175.8273822235578,366.10199546503685,392.56125245783693
19,331.2551020408163,133.19132653061223,345.4941662307206,379.78484603007416,459.5157005377976,196.83650954563493,185.578947368421,378.73489278752436,524.3394495412845,395.1926605504588,215.98039215686276,183.2210338680927,374.65600084684274,382.6177745864627,520.4492410588476,163.53180772166797,315.9548319327731,249.22794117647058,514.1410129550989,202.65797890107737,498.6532454524548,175.88578030418486,362.3889349199135,395.33169777921637
20,331.2956989247312,133.68548387096774,340.9595900078128,381.5453971538329,460.3892304834312,193.57726091663642,185.74493927125505,378.3056680161943,524.4164759725402,395.1029748283753,218.28648648648652,184.6756756756757,371.19043692074035,386.2431749957349,520.8111657254445,163.71994929794482,310.07797681770285,242.91043203371967,514.5159449184324,201.70125969246263,499.62882330259765,175.61524987512627,359.4545835480466,396.97900860586657
21,331.67448680351913,134.28152492668622,336.48484004115636,383.31206458839057,460.89789380155764,189.23172189528202,186.79263565891472,377.81395348837214,523.8333333333334,394.7058823529412,219.22857142857143,185.36302521008403,369.0299998455756,388.90110028238814,521.0694767456245,162.58141509799205,304.7748962655602,238.89522821576764,514.4816396856284,201.27990229145462,500.3743918406793,175.46273344547896,357.51355770901955,397.3708967241674
22,331.19398907103823,133.827868852459,333.0383044844461,384.28448709004107,460.8592584884578,184.7568103813936,188.2301886792453,375.65849056603776,523.8829268292683,394.68292682926835,220.98858075040792,186.21207177814037,368.19272096203855,390.4866580133988,521.2004598758522,161.09436037238476,298.76550998948466,234.64458464773918,514.8753357752763,200.49331484011472,500.959445389712,175.15094605395015,355.4422138539905,397.70615807360457
23,330.7780320366133,131.87185354691076,329.624814242945,385.38348544539735,460.73160510616447,181.08552361810746,189.70535714285717,373.95,522.2987341772152,393.8632911392405,221.042483660146,187.3316993464141,366.5066985273349,391.8786335704661,521.5913146682444,159.9916313453449,291.5400000000022,229.79777777777932,516.383370635883,198.9319352379164,501.236562723151,174.36051243487236,353.0180267295594,398.06200021877885
24,331.1438053097345,131.38938053097343,325.47796652724656,386.7705727611209,460.3501834348214,177.86823047037294,190.64124783362217,371.4332755632583,521.6771084337349,393.5373493975904,220.2436115843932,188.5212947189471,364.31392172290685,393.14724590320884,521.5652112576727,158.18237944821763,286.21104972374735,226.96464088397303,516.0276167651571,199.40336080425857,499.68006159367167,173.89801344065322,350.7169856575787,398.49753611554604
25,332.0022371364653,131.05816554809843,322.0929089072234,387.36730613230776,460.12503509664583,174.46734147829594,191.5313001605136,369.1091492776886,522.6461187214611,394.38584474885835,220.61032864129018,191.910798121289,362.40910953431165,394.2430174907717,521.6753173993703,157.38386269862326,281.10086766837344,226.17353578739596,516.1284338829133,199.3858490635846,499.63451093739286,173.73777499803418,348.24656576800004,398.81053655683746
26,332.0556792873051,130.97327394209353,318.9311521485228,387.4237373118457,461.09324209824587,172.32943842222844,192.19365079365082,367.0825396825397,523.0530120481928,393.0144578313252,220.88062013636758,194.32093017308014,359.69774172846803,395.2681428639789,521.8016916148596,157.22305792217242,276.60116256050554,226.25813943952733,516.1248089305789,199.28956357602684,498.8295590673677,172.81667431873558,345.50085553026616,398.83820186385225
27,331.97968397291186,131.10158013544014,315.83529201068075,386.8302431697435,462.4523358624359,171.1074048602213,193.01821192052984,364.1307947019869,523.3671497584539,391.7705314009662,221.60751699582397,197.02556063623481,358.734591514095,396.44466652655393,521.8470104882826,156.9998512911572,272.5193103766215,226.9443152689132,515.9903417198701,199.35126821064412,498.6939912249754,172.35890535028625,340.02046142618883,399.0260824100332
28,331.84722222222223,131.27546296296296,312.0126188371229,386.2295170270315,463.6666219038275,169.24710843203462,194.27138157894737,360.51973684210526,523.4302600472813,389.9692671394799,222.63806629635846,199.04524241232144,358.5813255040859,396.7320116241825,521.8257817730246,156.9814626855119,270.79856944825747,228.45291987404943,514.969050447217,200.46276684271638,498.43190535706367,172.18879846920166,339.48892000997387,399.40719092197196
29,331.80929095354526,131.80929095354523,308.7634432695031,386.85695406252813,464.80446224642634,168.1026227910958,196.61526479750782,357.107476635514,523.5231143552312,388.67396593673965,222.46073304096154,199.01919726990425,357.9692304959761,397.39862252939173,522.0903765827281,156.51715669417112,271.10141511751334,231.22995282884582,515.1653358482754,199.92210318861174,498.1966797282945,172.019764304647,338.0064509856537,399.4656562995259
30,331.64912280701753,131.97243107769424,305.34113854802985,388.1589340831037,466.7410851142906,165.53876464633632,199.3357142857143,352.73,523.1909547738694,388.55527638190966,222.6176961657673,198.99499165973708,357.09627875397706,397.34043256111,521.9538848048759,156.68702286442866,269.3156682049177,234.59562211953198,514.6016761515186,200.02796373079613,497.53180476376616,171.93081180348682,337.03653071960895,399.3542841119576
31,332.0145348837209,133.0843023255814,301.3584582147548,389.3277941942974,467.928842276741,163.31078556200617,200.17005813953492,349.4665697674418,522.2309711286089,388.10236220472433,223.1551724171804,198.8431034539116,356.9294393775952,397.34403549392823,521.8759078345464,156.76689638834281,263.9633225470962,239.67098166111708,511.58906666574796,200.98560324760206,497.31342024457723,172.11761267815456,337.49588684169134,399.7139842045767
32,331.98162729658793,133.09711286089242,297.7338588651686,390.2447211746034,468.91276699186585,162.5219225361876,199.81884057971016,346.6710144927536,522.131926121372,388.1451187335092,223.9146757920286,198.77645054690586,356.9546470985763,397.41156778438057,521.7324692282679,157.2392266734494,257.4594882766132,244.4477611977233,509.63779883999285,201.67246500888402,497.6205923700657,172.75026330649712,337.61088945290277,399.7929658676778
33,331.6501079913607,132.31749460043198,294.6460277570294,390.96843076806886,469.2220344793905,162.29941672566054,200.2005347593583,342.4157754010695,521.3166226912929,388.1477572559367,224.2668981384737,198.12998323981307,356.8660485239994,397.7963246563497,521.7450383947396,157.63229572961617,251.00214593657472,248.0493563481593,508.3142342731517,202.1801068480472,498.0588265247315,173.12234499374682,337.8768007233818,399.9529658338316
34,331.8459915611814,132.01476793248943,291.6190468429768,391.7821042589603,469.742679158224,161.7191716675558,200.66255144032917,340.0960219478738,520.8560794044665,387.7890818858561,224.65070962097656,198.1666675332457,354.06754036920023,398.14991622717383,521.798488333499,157.7812165716596,241.79999997655372,252.96685101255292,506.9784403538157,200.92490530518398,498.2316754951912,172.87926743174626,337.99154472573366,400.1188376793164
35,332.47123893805315,131.44247787610618,288.75663582033246,391.7721161247512,469.91867821656234,161.43036222315982,201.3948863636364,337.73721590909093,520.2239999999998,387.32,224.63185844829985,198.14336296002944,353.76495014139647,398.6136181563515,521.9493541472975,157.752794498601,233.7815315216528,258.25563065648504,506.9558461938851,200.39155061313568,498.0192702089527,172.42470787306598,338.16355458542296,400.29531358733414
36,333.38271604938274,131.48765432098767,286.44322568204007,391.4404820464748,470.1988507574871,160.65910371827005,201.40659340659343,337.34478021978026,518.4796163069543,387.43405275779367,224.61524823118043,198.15248228670887,352.9287472895475,398.75837278461233,522.3208230542551,158.06552661689545,226.35348836971576,262.7023255848515,505.87847993983786,199.288353336023,498.1794505282763,172.05135301386184,340.3701767187704,399.95950638576414
37,334.40123456790127,131.6851851851852,284.343057523566,390.8496086950942,470.4557649876916,160.0036244889505,201.8129298486933,336.53232462173315,514.7768052516411,387.26695842450766,224.61524822728023,198.15248227132724,352.1699749712265,398.89936407321005,522.669674871495,157.85991328821828,221.411407766688,265.4478155343367,504.73770045723984,197.8558105028876,498.8841248812912,171.87861763847698,340.8656806751491,399.93269133625137
38,335.29835390946505,131.61934156378598,280.0352624552049,390.5059739420754,470.37946533659033,159.86599550726532,201.7020689655186,336.223448275866,511.5795454545455,387.9034090909091,224.4616788321305,197.7755474453595,351.24313802177977,398.75766245484505,522.9824445401117,157.3631406694374,216.95952380949828,268.7630952381374,505.17465616523333,197.66497368492503,499.1658759053031,171.3426634335561,339.207586010282,399.18415430403394
39,335.8716904276985,131.59266802443992,272.9170773703328,391.06493873649526,471.07536018416926,158.462962706268,202.12482468443264,335.6171107994193,509.33982300884963,387.97522123893805,224.46167883211726,197.77554744526176,350.23427999881926,397.9678121516018,523.1046921431142,157.0896741594981,213.39281575897942,270.1448435689564,506.05920927229585,197.78181341927842,499.6759950114188,171.14540228346814,338.0528314119024,397.8361153020472
40,336.4928425357874,131.13496932515338,267.33351446127745,392.33915859973604,472.05502719253883,157.30405818959792,202.83553597650533,334.1923641703323,506.0341880341881,387.31111111111113,224.4708029197081,197.821167883214,342.29983242137075,397.03319795802804,523.4508516747699,156.6868048998771,211.56111757857929,269.5506402793971,506.3900274826781,197.3815589565212,500.15037466091997,170.80051127663216,405.990415615556,395.3290731922015
41,336.551656920078,130.85185185185185,261.6692792694584,393.0062398034951,472.10581021135863,156.91305371347642,204.19020979021744,331.25874125878073,503.1289833080425,384.2534142640365,224.44871794871798,197.82417582417668,339.82105423269894,396.2655971956542,523.4833300622308,156.57460344171292,208.57409568259555,269.421236872942,506.7687339370716,197.4508410425349,499.75077785678457,170.30670161575608,403.00000014002336,401.500000004422
42,336.66537717601545,131.38104448742743,256.41860211269614,393.52035508265504,472.58408615614593,156.33005424706158,204.79139504571148,327.6479791406787,503.552748885587,380.72065378900436,224.74862385321092,198.55412844036755,336.8423951582872,394.829086600731,523.8103463727861,155.83474913475698,204.7827102803032,267.86799065643885,505.73594898324814,198.80327496647573,498.87252305972487,169.22998586091475,407.5692330204876,401.8973267533253
43,336.3385826771653,131.5964566929134,251.39073172988472,393.4397349484631,473.183965381312,155.90144344168266,205.67679214119931,321.6597824950396,505.03846153846155,376.048433048433,225.24615384615385,199.42051282051304,335.3566018790377,392.7373407974714,523.9398829289163,155.72560902860462,201.44338529810204,267.28963234889056,506.2223603487156,200.95327460144668,499.2711315009065,169.02328406510318,407.79146626216834,401.7083232700243
44,335.8620689655172,131.83772819472617,247.43880259554638,392.9166666518064,474.2986881072017,155.4282970007245,206.97213699772118,315.9862145079248,506.8926701570681,372.08769633507853,225.6813008130081,199.96422764227643,335.63187622072263,391.98680354644654,526.4669442817483,146.2881740798741,197.2945650627009,267.201409009934,507.0642340057465,203.72776947034043,504.09289233319265,168.11697568015487,408.3703403752602,401.57529406818367
45,335.75665399239546,132.79277566539923,244.5494924957892,393.06091370366477,474.8089260924067,155.547862254013,208.7493462844507,310.75579416320994,508.55761024182084,365.4338549075391,225.9605055292259,200.3680884676145,334.90980218524317,391.1678025943661,525.092810992881,154.6653456850728,192.84984805254655,265.934750636582,507.3663669222963,207.8763454692297,503.0431140469919,169.22793052799437,408.4941055468556,401.26299908679437
